계약일,자치구명,법정동명,주소,건물명,층,위도,경도,전월세 구분,임대면적(㎡),보증금(만원),임대료(만원),계약기간,신규갱신여부,계약갱신권사용여부,종전 보증금,종전 임대료,건축년도,건물용도
202456,용산구,이태원동,서울특별시 용산구 이태원동,,,,,전세,60.6,"15,000",0,24.06~26.06,신규,,,,,단독다가구
202457,용산구,한남동,서울특별시 용산구 한남동,,,,,월세,24.95,"1,500",100,24.05~25.05,신규,,,,,단독다가구
202457,용산구,청파동1가,서울특별시 용산구 청파동1가,,,,,전세,17.27,"11,000",0,24.06~26.06,신규,,,,,단독다가구
202457,용산구,청파동1가,서울특별시 용산구 청파동1가,,,,,월세,34,500,50,24.05~26.05,신규,,,,,단독다가구
202457,종로구,숭인동,서울특별시 종로구 숭인동,,,,,전세,169,"14,000",0,24.05~26.05,신규,,,,,단독다가구
202457,용산구,원효로3가,서울특별시 용산구 원효로3가,,,,,전세,35,"10,000",0,24.06~26.06,갱신,,"8,500",,,단독다가구
202457,중구,광희동2가,서울특별시 중구 광희동2가,,,,,전세,76.03,"38,000",0,24.05~26.05,신규,,,,,단독다가구
202457,중구,장충동1가,서울특별시 중구 장충동1가,,,,,월세,16.5,500,35,24.05~25.05,신규,,,,,단독다가구
202457,용산구,동자동,서울특별시 용산구 동자동,,,,,월세,20,500,50,24.05~26.05,신규,,,,,단독다가구
202457,용산구,동자동,서울특별시 용산구 동자동,,,,,전세,30,"21,000",0,24.06~26.06,신규,,,,,단독다가구
202457,용산구,갈월동,서울특별시 용산구 갈월동,,,,,전세,17,"14,000",0,24.06~26.06,신규,,,,,단독다가구
202457,중구,신당동,서울특별시 중구 신당동,,,,,월세,19.8,200,33,24.05~26.05,신규,,,,,단독다가구
202457,중구,신당동,서울특별시 중구 신당동,,,,,월세,45.52,"5,000",70,24.05~26.05,신규,,,,,단독다가구
202457,중구,신당동,서울특별시 중구 신당동,,,,,월세,48.67,"8,000",70,24.05~26.05,신규,,,,,단독다가구
202457,용산구,주성동,서울특별시 용산구 주성동,,,,,전세,39,"8,000",0,24.06~26.06,신규,,,,,단독다가구
202457,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,84.58,"18,000",0,24.05~26.05,신규,,,,,단독다가구
202457,용산구,보광동,서울특별시 용산구 보광동,,,,,월세,21.66,400,30,24.05~26.05,신규,,,,,단독다가구
202457,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,84.58,"18,000",0,,,,,,,단독다가구
202457,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,38.43,"15,000",0,24.06~26.06,신규,,,,,단독다가구
202458,종로구,누하동,서울특별시 종로구 누하동,,,,,전세,45.29,"15,270",0,24.05~26.05,신규,,,,,단독다가구
202458,용산구,보광동,서울특별시 용산구 보광동,,,,,전세,56.45,"21,000",0,24.07~26.06,갱신,,"15,000",,,단독다가구
202458,용산구,이태원동,서울특별시 용산구 이태원동,,,,,월세,45.06,"15,500",5,24.05~26.05,갱신,,"9,975",19,,단독다가구
202458,용산구,신창동,서울특별시 용산구 신창동,,,,,월세,51.57,"7,000",28,24.06~26.06,신규,,,,,단독다가구
202458,용산구,보광동,서울특별시 용산구 보광동,,,,,월세,51.9,"1,000",65,24.05~26.05,신규,,,,,단독다가구
202458,중구,쌍림동,서울특별시 중구 쌍림동,,,,,월세,167.61,"1,000",60,24.05~26.05,신규,,,,,단독다가구
202458,용산구,보광동,서울특별시 용산구 보광동,,,,,월세,51.9,"1,000",65,24.05~26.05,신규,,,,,단독다가구
202458,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,56.32,"12,000",0,24.02~26.02,갱신,,"12,000",,,단독다가구
202458,용산구,동빙고동,서울특별시 용산구 동빙고동,,,,,전세,59.77,"50,000",0,24.05~27.05,신규,,,,,단독다가구
202458,용산구,보광동,서울특별시 용산구 보광동,,,,,전세,34.57,"8,000",0,24.05~26.05,갱신,,"7,000",,,단독다가구
202458,종로구,누하동,서울특별시 종로구 누하동,,,,,월세,41.52,"1,000",100,24.05~26.05,신규,,,,,단독다가구
202459,종로구,명륜1가,서울특별시 종로구 명륜1가,,,,,월세,39.88,"10,000",75,24.06~26.06,신규,,,,,단독다가구
